id;user_id;column_name;column_value
1;67990;Central African Republic multimedia;Metal Engineer
2;78725;empower Decentralized;haptic Denar salmon
3;44652;Ball;azure Highway
4;10987;azure Kazakhstan parsing;Forward
5;26969;e-commerce Pants reintermediate;TCP Avon
6;43978;Functionality invoice;Customer-focused Kids
7;3570;visualize virtual Director;Utah innovate Senior
8;33026;Rustic;Borders Cambridgeshire
9;58475;Consultant secured line Practical Rubber Car;vertical
10;12605;metrics Fresh Computers;conglomeration International Vision-oriented
